property_id,property_index,structure_type,property_sub_type,prop_type_clean,gla_sqft,bedrooms_main,bedrooms_additional,bedrooms_total,bathrooms_full,bathrooms_half,bathrooms_equivalent,close_price,close_date,address,city,state_province,postal_code,latitude,longitude,lot_size_sqft,year_built,basement_type,main_level_finished_area,levels,heating,cooling,has_missing_bed_data,bedroom_imputation_method,has_missing_bath_data,has_missing_prop_type,prop_type_mapping_method,has_missing_date_data,subject_id
21,21,"Detached, 2-Storey ",Detached,,1604.0,,,,,,,595000.0,,994 WESTMINSTER Place ,Kingston ,Ontario,K7P 1R1,44.2526,-76.5912,5635.0,,"Finished, Full ",,2-Storey ,Forced Air ,Central Air ,False,,False,False,,False,0
22,22,Detached,Detached,,1850.0,,,,,,,745000.0,,2138 Balantrae Circ,Kingston,Ontario,K7M 9H8,44.2331,-76.5906,3845.06,,"Finished, Full",,Two,Forced Air,Central Air,False,,False,False,,False,0
23,23,"Detached, 2-Storey ",Detached,,1750.0,,,,,,,745000.0,,2138 Balantrae Circle ,Kingston ,Ontario,K7M 9H8,44.2331,-76.5906,3815.0,,"Full, Finished ",,2-Storey ,Forced Air ,Central Air ,False,,False,False,,False,0
24,24,Semi-Detached,Semi-Detached,,1252.0,,,,,,,465000.0,,692 Truedell Rd,Kingston,Ontario,K7M 6T2,44.2462,-76.5788,3775.5,,"Full, Part Fin",,Two,Forced Air,Central Air,False,,False,False,,False,0
25,25,"Semi-Detached, 2-Storey ",Semi-Detached,,1259.0,,,,,,,465000.0,,692 Truedell Road ,Kingston ,Ontario,K7M 6T2,44.2462,-76.5788,3741.0,,"Full, Partially Finished ",,2-Storey ,Forced Air ,Central Air ,False,,False,False,,False,0
26,26,Detached,Detached,,1300.0,,,,,,,595000.0,,728 Sussex Blvd,Kingston,Ontario,K7M 5B1,44.2467,-76.5959,7800.0,,"Part Bsmt, W/O",,3.0,Forced Air,Central Air,False,,False,False,,False,0
27,27,"Detached, Sidesplit 3 ",Detached,,1300.0,,,,,,,595000.0,,728 Sussex Boulevard ,Kingston ,Ontario,K7M 5B1,44.2467,-76.5959,7735.0,,"Partial Basement, Walk-Out ",,Sidesplit 3 ,Forced Air ,Central Air ,False,,False,False,,False,0
28,28,"Condo Townhouse, 2-Storey ",Condo Townhouse,,1100.0,,,,,,,375000.0,,Unit 51 - 808 Datzell Lane,Kingston ,Ontario,K7M 7R6,44.25,-76.5903,,,Unfinished ,,2-Storey ,Forced Air ,Central Air ,False,,False,False,,False,0
29,29,Detached,Detached,,2700.0,,,,,,,935000.0,,1126 Dunham St,Kingston,Ontario,K7P 2L4,44.2547,-76.5988,7050.0,,Fin W/O,,Two,Forced Air,Central Air,False,,False,False,,False,0
30,30,"Single Family Residence, Sidesplit ",Single Family Residence,,1721.0,,,,,,,571400.0,,983 Westminster Place ,Kingston ,Ontario,K7P 1R1,44.2522,-76.5908,5929.0,,Finished ,,Sidesplit ,Forced Air ,Central Air ,False,,False,False,,False,0
31,31,"Detached, Backsplit 4 ",Detached,,2750.0,,,,,,,935000.0,,1126 Dunham Street ,Kingston ,Ontario,K7P 2L4,44.2547,-76.5988,7050.0,,Finished with Walk-Out ,,Backsplit 4 ,Forced Air ,Central Air ,False,,False,False,,False,0
32,32,Detached,Detached,,1820.0,,,,,,,473030.0,,4061 BATH Rd ,Kingston ,Ontario,K7M 4Y6,44.2415,-76.6103,7344.0,75.0,"Part Bsmt, Unfinished ",,2-Storey ,Forced Air ,Central Air ,False,,False,False,,False,0
33,33,"Detached, 2-Storey ",Detached,,1797.0,,,,,,,473030.0,,4061 BATH Road ,Kingston ,Ontario,K7M 4Y6,44.2415,-76.6103,7344.0,,"Unfinished, Partial Basement ",,2-Storey ,Forced Air ,Central Air ,False,,False,False,,False,0
34,34,Detached,Detached,,1500.0,,,,,,,580000.0,,661 Roosevelt Dr,Kingston,Ontario,K7M 8T8,44.2326,-76.5884,6000.0,,"Full, Unfinished",,One,Forced Air,Central Air,False,,False,False,,False,0
35,35,Semi-Detached,Semi-Detached,,1501.0,,,,,,,550000.0,,657 Barnsley Cres,Kingston,Ontario,K7M 8X4,44.2319,-76.5967,4867.56,,Fin W/O,,Two,Forced Air,Central Air,False,,False,False,,False,0
36,36,Detached,Detached,,1616.0,,,,,,,762000.0,,418 Conservatory Dr,Kingston,Ontario,K7M 9C7,44.2319,-76.5915,3650.0,,"Finished, Full",,Two,Forced Air,Central Air,False,,False,False,,False,0
37,37,"Detached, Bungalow-Raised ",Detached,,1750.0,,,,,,,580000.0,,661 Roosevelt Drive ,Kingston ,Ontario,K7M 8T8,44.2326,-76.5884,6000.0,,"Full, Unfinished ",,Bungalow-Raised ,Forced Air ,Central Air ,False,,False,False,,False,0
38,38,"Semi-Detached, 2-Storey ",Semi-Detached,,1506.0,,,,,,,550000.0,,657 Barnsley Crescent ,Kingston ,Ontario,K7M 8X4,44.2319,-76.5967,4847.0,,Finished with Walk-Out ,,2-Storey ,Forced Air ,Central Air ,False,,False,False,,False,0
39,39,"Detached, 2-Storey ",Detached,,1596.0,,,,,,,762000.0,,418 Conservatory Drive ,Kingston ,Ontario,K7M 9C7,44.2319,-76.5915,3640.0,,"Finished, Full ",,2-Storey ,Forced Air ,Central Air ,False,,False,False,,False,0
40,40,Detached,Detached,,1500.0,,,,,,,615000.0,,1001 Lombardy St,Kingston,Ontario,K7M 8M7,44.2394,-76.5895,6299.39,,Finished,,Two,Forced Air,Central Air,False,,False,False,,False,0
41,41,Detached,Detached,,1300.0,,,,,,,595000.0,,605 Truedell Rd ,Kingston ,Ontario,K7M 6S7,44.2422,-76.5804,5400.0,40.0,Finished ,,Backsplit 3 ,Forced Air ,Central Air ,False,,False,False,,False,0
42,42,Condo Apt,Condo Apt,,550.0,,,,,,,253750.0,,Unit 108 - 835 Milford Dr ,Kingston ,Ontario,K7P 1A7,44.2508,-76.5839,,75.0,Apartment ,,Apartment ,Baseboard ,Window Unit ,False,,False,False,,False,0
43,43,Condo Townhouse,Condo Townhouse,,1100.0,,,,,,,327000.0,,771 ASHWOOD Dr ,Kingston ,Ontario,K7M 6X7,44.2488,-76.5889,,40.0,Finished ,,2-Storey ,Forced Air ,Central Air ,False,,False,False,,False,0
