property_id,subject_id,orderID,structure_type,property_sub_type,prop_type_clean,gla_sqft,bedrooms_main,bedrooms_additional,bedrooms_total,bathrooms_full,bathrooms_half,bathrooms_equivalent,close_price,close_date,address,city,state_province,postal_code,latitude,longitude,lot_size_sqft,year_built,basement_type,main_level_finished_area,levels,heating,cooling,has_missing_bed_data,bedroom_imputation_method,has_missing_bath_data,has_missing_prop_type,prop_type_mapping_method,has_missing_date_data,gla_diff_sqft,gla_diff_pct,size_match_excellent,size_match_good,size_match_acceptable,bedroom_diff,bedroom_exact_match,bedroom_close_match,bathroom_diff,bathroom_exact_match,bathroom_close_match,structure_type_match,property_age,age_diff_years,age_similar,same_city,same_province,postal_fsa,subject_fsa,same_fsa,distance_km,distance_excellent,distance_good,distance_acceptable,days_from_effective,sale_very_recent,sale_recent,sale_acceptable,recency_score,sale_month,effective_month,same_season,price_per_sqft,subject_price_per_sqft_est,price_per_sqft_diff,price_per_sqft_diff_pct,price_psf_very_similar,price_psf_similar,price_psf_acceptable,city_price_percentile,city_psf_percentile,market_tier,subject_market_tier,same_market_tier,needs_size_adjustment,needs_location_adjustment,needs_time_adjustment,total_adjustments_needed,physical_score,location_score,temporal_score,market_score,composite_score,comparable_rank,comparable_quality,is_top3_comparable
2949,24,4756320,Condo Townhouse,Condo Townhouse,Condominium,1499.0,3,0,3,2,1,2.5,339000.0,2025-01-31,Unit 59 - 2803 JAMES MOWATT Trail SW ,Edmonton ,Alberta,T6W 2P5,53.4048,-113.535,1800.5,2015.0,"None,  No Basement ",,,"Forced Air-1,  Natural Gas ",,False,,False,False,condo-indicator,False,81.0,5.126582278481013,1,1,1,0.0,1,1,,0,0,0,10.0,,0,1,1,T6W,T6W,1,0.6969303996648074,1,1,1,63,1,1,1,0.65,1,4,0,226.15076717811874,233.85669654055778,7.705929362439036,3.29515018232655,1,1,1,0.23163841807909605,0.04519774011299435,Lower,Lower,1,0,0,0,0,85,100,100.0,100,94.0,1,Excellent,1
2970,24,4756320,Condo Townhouse,Condo Townhouse,Condominium,1599.0,3,0,3,2,1,2.5,348000.0,2025-03-04,1627 CUNNINGHAM Way SW ,Edmonton ,Alberta,T6W 0V8,53.4051,-113.527,1592.6,2013.0,"Partial,  Finished ",,,"Forced Air-1,  Natural Gas ",,False,,False,False,condo-indicator,False,19.0,1.2025316455696202,1,1,1,0.0,1,1,,0,0,0,12.0,,0,1,1,T6W,T6W,1,0.9682808978664798,1,1,1,31,1,1,1,0.8277777777777777,3,4,1,217.6360225140713,233.85669654055778,16.220674026486478,6.936159736470632,1,1,1,0.24858757062146894,0.02824858757062147,Lower,Lower,1,0,0,0,0,85,100,100.0,100,94.0,1,Excellent,1
2999,24,4756320,Condo Townhouse,Condo Townhouse,Condominium,1550.0,3,0,3,2,1,2.5,370000.0,2025-04-10,Unit 58 - 1816 Rutherford Road SW ,Edmonton ,Alberta,T6W 2K6,53.4149,-113.522,,2014.0,"None,  No Basement ",,3 Storey ,"Forced Air-1,  Natural Gas ",,False,,False,False,condo-indicator,False,30.0,1.89873417721519,1,1,1,0.0,1,1,,0,0,0,11.0,,0,1,1,T6W,T6W,1,1.1576452254179181,0,1,1,-6,1,1,1,1.0,4,4,1,238.70967741935485,233.85669654055778,4.852980878797069,2.0751943179678913,1,1,1,0.2853107344632768,0.0847457627118644,Lower,Lower,1,0,0,0,0,85,85,100.0,100,89.5,3,Excellent,1
3000,24,4756320,Duplex,Duplex,Semi-Detached,1517.0,3,0,3,2,1,2.5,415000.0,2025-04-11,2614 CASEY Way SW ,Edmonton ,Alberta,T6W 3N1,53.4099,-113.504,,2016.0,"Full,  Partially Finished ",,2 Storey ,"Forced Air-1,  Natural Gas ",,False,,False,True,medium-large-imputation,False,63.0,3.9873417721518987,1,1,1,0.0,1,1,,0,0,0,9.0,,0,1,1,T6W,T6W,1,2.2631821798640845,0,1,1,-7,1,1,1,1.0,4,4,1,273.5662491760053,233.85669654055778,39.709552635447494,16.980293155112054,0,1,1,0.3248587570621469,0.2711864406779661,Lower,Lower,1,0,0,0,0,85,85,100.0,100,89.5,3,Excellent,1
3010,24,4756320,Duplex,Duplex,Semi-Detached,1429.0,3,0,3,2,1,2.5,415000.0,2025-04-25,1674 RUTHERFORD Road SW ,Edmonton ,Alberta,T6W 1W4,53.4146,-113.525,3229.8,2013.0,"Full,  Unfinished ",,2 Storey ,"Forced Air-1,  Natural Gas ",,False,,False,True,medium-large-imputation,False,151.0,9.556962025316455,1,1,1,0.0,1,1,,0,0,0,12.0,,0,1,1,T6W,T6W,1,0.962347896285324,1,1,1,-21,1,1,1,1.0,4,4,1,290.41287613715883,233.85669654055778,56.556179596601055,24.184118065993683,0,0,1,0.3248587570621469,0.4350282485875706,Lower,Lower,1,0,0,0,0,85,100,100.0,75,91.5,2,Excellent,1
3029,24,4756320,Duplex,Duplex,Semi-Detached,1508.0,3,0,3,2,1,2.5,415000.0,2025-05-08,2360 CASSELMAN Crescent SW ,Edmonton ,Alberta,T6W 0W3,53.4045,-113.532,3969.8,2013.0,"Full,  Partially Finished ",,2 Storey ,"Forced Air-1,  Natural Gas ",,False,,False,True,medium-large-imputation,False,72.0,4.556962025316456,1,1,1,0.0,1,1,,0,0,0,12.0,,0,1,1,T6W,T6W,1,0.8067403282816542,1,1,1,-34,1,1,1,1.0,5,4,1,275.19893899204243,233.85669654055778,41.34224245148465,17.67845140338526,0,1,1,0.3248587570621469,0.2824858757062147,Lower,Lower,1,0,0,0,0,85,100,100.0,100,94.0,1,Excellent,1
3034,25,4756829,"Freehold Townhouse, 2-Storey ",Freehold Townhouse,Townhouse,1750.0,3,0,3,0,0,0.0,660000.0,2025-01-10,87 Bon Temps Way,Orleans-Gloucester ,Ontario,K1W 0M1,45.4278,-75.5113,2325.0,,Finished with Walk-Out ,,2-Storey ,Forced Air ,Central Air ,False,,True,False,townhouse-indicator,False,163.0,10.27095148078135,0,1,1,0.0,1,1,3.5,0,0,0,,,0,1,1,K1W,K1W,1,0.0,1,1,1,88,1,1,1,0.5111111111111111,1,4,0,377.14285714285717,374.30303030303025,2.8398268398269124,0.7586972612879544,1,1,1,0.4485294117647059,0.4411764705882353,Middle,Middle,1,1,0,0,1,55,100,100.0,100,82.0,2,Excellent,1
3070,25,4756829,"Freehold Townhouse, 2-Storey ",Freehold Townhouse,Townhouse,1799.0,3,0,3,0,0,0.0,624500.0,2025-02-10,727 MORNINGSTAR Way ,Orleans-Gloucester ,Ontario,K1W 0G6,45.433,-75.5167,1840.0,,"Full, Finished ",,2-Storey ,Forced Air ,Central Air ,False,,True,False,townhouse-indicator,False,212.0,13.358538122243226,0,1,1,0.0,1,1,3.5,0,0,0,,,0,1,1,K1W,K1W,1,0.715939967162012,1,1,1,57,1,1,1,0.6833333333333333,2,4,0,347.1372984991662,374.30303030303025,27.16573180386405,7.257684176874301,1,1,1,0.27941176470588236,0.25,Lower,Middle,0,1,0,0,1,55,100,100.0,100,82.0,2,Excellent,1
3086,25,4756829,"Freehold Townhouse, 2-Storey ",Freehold Townhouse,Townhouse,1750.0,3,0,3,0,0,0.0,632000.0,2025-02-16,178 Joshua Street ,Orleans-Gloucester ,Ontario,K1W 0C4,45.4261,-75.5199,2750.0,,"Full, Finished ",,2-Storey ,Forced Air ,Central Air ,False,,True,False,townhouse-indicator,False,163.0,10.27095148078135,0,1,1,0.0,1,1,3.5,0,0,0,,,0,1,1,K1W,K1W,1,0.6990452893961996,1,1,1,51,1,1,1,0.7166666666666667,2,4,0,361.14285714285717,374.30303030303025,13.160173160173088,3.515914137675777,1,1,1,0.29411764705882354,0.29411764705882354,Lower,Middle,0,1,0,0,1,55,100,100.0,100,82.0,2,Excellent,1
3115,25,4756829,"Detached, Bungalow ",Detached,Detached,1750.0,3,0,3,0,0,0.0,755000.0,2025-03-25,713 Spring Valley Drive ,Orleans-Gloucester ,Ontario,K1W 0H2,45.4264,-75.5152,3999.0,,"Finished, Full ",,Bungalow ,Forced Air ,Central Air ,False,,True,False,detached-indicator,False,163.0,10.27095148078135,0,1,1,0.0,1,1,3.5,0,0,0,,,0,1,1,K1W,K1W,1,0.34258290017079024,1,1,1,14,1,1,1,0.9222222222222223,3,4,1,431.42857142857144,374.30303030303025,57.12554112554119,15.261843079200613,0,1,1,0.625,0.7058823529411765,Middle,Middle,1,1,0,0,1,55,100,100.0,90,81.0,3,Excellent,1
