subject_id,subject_index,condition,age_years,age_uncertainty,effective_date,structure_type,lot_size_sqft,gla_sqft,bedrooms_raw,bathrooms_raw,municipality_district,has_lot_size_uncertainty,has_gla_uncertainty
69,69,Good,,False,Apr/30/2025,Detached,10021.284,1952.0,3,2F 1H,"Langdon, AB",False,False
70,70,Average,,False,May/02/2025,Detached,217800.0,2773.0,4,2:1,"Community of Lowbanks, Regional Municipality of Haldimand County",False,False
71,71,Fair,,False,Apr/30/2025,Detached,23046.0,2304.0,4,2:0,10 - 15 (Amherstburg - Malden Centre),False,False
72,72,Average,,False,May/01/2025,Detached,10014.0,1050.0,2+2,2:0,Kingston,False,False
73,73,Good,,False,May/01/2025,Detached,9450.792,2061.0,3,3:1,"Langdon, AB / Boulder Creek",False,False
74,74,Good,,False,May/02/2025,Detached,7524.035999999999,3543.1,3,3F 1H,"Calgary, AB / Springbank Hill",False,False
75,75,Good,,False,May/02/2025,Detached,4768.0,2352.0,3,3:1,City of Calgary/Copperfield,False,False
76,76,Good,,False,May/01/2025,,4919.0,2385.0,,,,False,False
77,77,Average,,False,May/06/2025,Fourplex,6243.12,2002.1039999999998,8,4F,"Calgary, AB  South Calgary",False,False
78,78,Good,,False,May/06/2025,Detached,5791.0,1290.0,2,3:0,City of Calgary/Douglasdale/Glen,False,False
79,79,Average,,False,May/06/2025,Detached,3625.0,1451.0,3,1:1,"City of Kitchener, Region of Waterloo",False,False
80,80,Good,,False,May/05/2025,Condominium,,678.0,2,2:0,City of Greater Kingston,False,False
81,81,Good,,False,May/05/2025,Condominium,,665.0,2,2:0,City of Kingston,False,False
82,82,Good,,False,May/05/2025,Condominium,,584.0,1,1:0,City of Greater Kingston,False,False
83,83,Good,,False,May/05/2025,Detached,8169.875999999999,1746.79,3,2F 1H,"Calgary, AB / Sandstone Valley",False,False
84,84,Average,,False,Apr/09/2025,Detached,5823.324,1144.0,3,1F 1H,"Airdrie, AB / Meadowbrook",False,False
85,85,Average,,False,Apr/30/2025,Detached,435600.0,2138.0,5,2:0,"Loyalist Township, County of Lennox and Addington",False,False
86,86,Average,,False,May/02/2025,Detached,435600.0,2250.0,5,3:0,"Township of East Garafraxa, County of Dufferin",False,False
87,87,Average,,False,Feb/13/2025,Detached,609840.0,1254.0,3,1:1,Kingston,False,False
