property_id,subject_id,orderID,structure_type,property_sub_type,prop_type_clean,gla_sqft,bedrooms_main,bedrooms_additional,bedrooms_total,bathrooms_full,bathrooms_half,bathrooms_equivalent,close_price,close_date,address,city,state_province,postal_code,latitude,longitude,lot_size_sqft,year_built,basement_type,main_level_finished_area,levels,heating,cooling,has_missing_bed_data,bedroom_imputation_method,has_missing_bath_data,has_missing_prop_type,prop_type_mapping_method,has_missing_date_data
3120,25,4756829,"Detached, 2-Storey ",Detached,Detached,2625.0,4,0,4,0,0,0.0,1000010.0,2025-03-28,2325 Longwater Street ,Orleans-Gloucester ,Ontario,K1W 1K7,45.4347,-75.5283,4902.0,,"Full, Finished ",,2-Storey ,Forced Air ,Central Air ,False,,True,False,detached-indicator,False
3121,25,4756829,"Freehold Townhouse, 2-Storey ",Freehold Townhouse,Townhouse,2250.0,4,0,4,0,0,0.0,650000.0,2025-03-28,244 Gossamer Street ,Orleans-Gloucester ,Ontario,K1C 7G4,45.4272,-75.5186,2060.0,,"Finished, Full ",,2-Storey ,Forced Air ,Central Air ,False,,True,False,townhouse-indicator,False
3124,25,4756829,"Freehold Townhouse, 3-Storey ",Freehold Townhouse,Townhouse,1750.0,2,0,2,0,0,0.0,544900.0,2025-04-02,923 Eastboro Avenue ,Orleans-Gloucester ,Ontario,K4B 1H9,45.431,-75.5092,1330.0,,Unfinished ,,3-Storey ,Forced Air ,Central Air ,False,,True,False,townhouse-indicator,False
3128,25,4756829,"Freehold Townhouse, 2-Storey ",Freehold Townhouse,Townhouse,1300.0,4,0,4,0,0,0.0,639900.0,2025-04-04,634 Spring Valley Drive ,Orleans-Gloucester ,Ontario,K1W 0C6,45.4287,-75.5131,,,Partially Finished ,,2-Storey ,Forced Air ,Central Air ,False,,True,False,townhouse-indicator,False
3131,25,4756829,"Freehold Townhouse, 2-Storey ",Freehold Townhouse,Townhouse,1750.0,3,0,3,0,0,0.0,670000.0,2025-04-10,261 Shinleaf Crescent ,Orleans-Gloucester ,Ontario,K1W 0J2,45.4361,-75.5125,,,"Full, Partially Finished ",,2-Storey ,Forced Air ,Central Air ,False,,True,False,townhouse-indicator,False
3133,25,4756829,"Detached, 2-Storey ",Detached,Detached,3250.0,4,0,4,0,0,0.0,1240000.0,2025-04-11,2022 Silver Pines Crescent ,Orleans-Gloucester ,Ontario,K1W,45.4376,-75.5328,,,"Full, Unfinished ",,2-Storey ,Baseboard ,Central Air ,False,,True,False,detached-indicator,False
3134,25,4756829,"Freehold Townhouse, 2-Storey ",Freehold Townhouse,Townhouse,1750.0,3,0,3,0,0,0.0,640000.0,2025-04-11,605 CREVIER Walk ,Orleans-Gloucester ,Ontario,K1W,45.4447,-75.522,,,"Full, Finished ",,2-Storey ,Forced Air ,Central Air ,False,,True,False,townhouse-indicator,False
3135,25,4756829,"Detached, 2-Storey ",Detached,Detached,2250.0,6,0,6,0,0,0.0,967500.0,2025-04-13,5823 Gladewoods Place ,Orleans-Gloucester ,Ontario,K1W 1G5,45.4411,-75.5325,,,"Finished, Full ",,2-Storey ,Forced Air ,Central Air ,False,,True,False,detached-indicator,False
3136,25,4756829,"Freehold Townhouse, 2-Storey ",Freehold Townhouse,Townhouse,1750.0,3,0,3,0,0,0.0,589900.0,2025-04-14,5901 Pineglade Crescent ,Orleans-Gloucester ,Ontario,K1W 1G3,45.4419,-75.5309,,,Finished ,,2-Storey ,Forced Air ,Central Air ,False,,True,False,townhouse-indicator,False
3139,25,4756829,"Detached, 2-Storey ",Detached,Detached,2250.0,4,0,4,0,0,0.0,1035000.0,2025-04-15,259 FOUNTAINHEAD Drive ,Orleans-Gloucester ,Ontario,K4B 1H9,45.4246,-75.5123,,,"Full, Finished ",,2-Storey ,Forced Air ,Central Air ,False,,True,False,detached-indicator,False
