subject_id,comp_id,comp_index,condition,age_years,age_uncertainty,prop_type,city_province,lot_size_sqft,gla_sqft,bedrooms_main,bedrooms_additional,bedrooms_total,bathrooms_full,bathrooms_half,bathrooms_equivalent,sale_price,sale_date,has_lot_size_uncertainty,has_gla_uncertainty,has_additional_bedrooms
52,52_0,0,Fair,36.0,False,Detached,Tilbury ON N0P 2L0,8320.0,1765.0,3,0,3,1,0,1.0,354500.0,2025-02-20,False,False,False
52,52_1,1,Excellent,90.0,False,Detached,Merlin ON N0P 1W0,24420.0,1864.0,3,0,3,2,1,2.5,492500.0,2025-01-22,False,False,False
52,52_2,2,Excellent,115.0,False,Detached,Chatham ON N7M 5T1,,1700.0,3,0,3,1,1,1.5,490000.0,2024-12-16,False,False,False
53,53_0,0,Average,11.0,False,Detached,Kingston ON K7K 0E8,3214.0,1478.0,3,0,3,1,1,1.5,640000.0,2024-10-21,True,False,False
53,53_1,1,Excellent,23.0,False,Detached,Kingston ON K7K 7K1,4291.0,1629.0,3,1,4,3,1,3.5,717000.0,2025-03-31,True,False,True
53,53_2,2,Average,23.0,False,Detached,Kingston ON K7K 7K1,4291.0,1079.0,2,1,3,3,0,3.0,650000.0,2025-02-13,True,False,True
54,54_0,0,Excellent,100.0,True,Duplex,Kingston ON K7K 3Z7,1900.0,1500.0,4,0,4,2,0,2.0,675000.0,2025-02-12,True,True,False
54,54_1,1,Excellent,70.0,True,Triplex,Kingston ON K7K 3W2,3825.0,3000.0,5,0,5,3,0,3.0,764900.0,2024-10-29,True,True,False
54,54_2,2,Average,40.0,True,Duplex,Kingston ON K7K 1P5,3312.0,2000.0,4,0,4,2,0,2.0,617500.0,2025-01-18,True,True,False
55,55_0,0,Average,9.0,True,Townhouse,Kanata ON K2T 0K7,2450.0,1570.0,3,0,3,2,1,2.5,650000.0,2025-02-21,True,False,False
55,55_1,1,Average,10.0,True,Townhouse,Kanata ON K2T 0K7,2646.0,1869.0,5,0,5,2,1,2.5,676000.0,2025-02-27,True,False,False
55,55_2,2,Average,12.0,True,Townhouse,Kanata ON K2T 0H8,1958.0,1830.0,4,0,4,2,1,2.5,706000.0,2025-03-26,True,False,False
56,56_0,0,Fair,16.0,True,Townhouse,Orléans ON K4A 0H9,2665.0,1551.0,3,0,3,2,1,2.5,627500.0,2025-03-11,True,False,False
56,56_1,1,Fair,12.0,True,Townhouse,Orléans ON K4A 0W4,4843.0,1873.0,3,0,3,2,1,2.5,700994.0,2025-01-23,True,False,False
56,56_2,2,Average,3.0,True,Townhouse,Orléans ON K4A 5M1,3582.0,1932.0,4,0,4,2,1,2.5,705000.0,2025-03-26,True,False,False
57,57_0,0,Average,36.0,False,Condominium,Halifax NS B3K 5V2,,1150.0,3,0,3,2,0,2.0,434500.0,2025-01-17,True,False,False
57,57_1,1,Average,47.0,False,Condominium,Halifax NS B3K 5K4,,1216.0,3,0,3,2,0,2.0,465000.0,2025-03-28,True,False,False
57,57_2,2,Average,51.0,False,Condominium,Halifax NS B3K 3G6,,1500.0,3,0,3,2,0,2.0,434523.0,2025-04-14,True,False,False
58,58_0,0,Average,14.0,True,Detached,Atwood ON N0G 1B0,21344.399999999998,1567.0,2,0,2,2,0,2.0,825000.0,2025-04-06,False,False,False
58,58_1,1,Average,4.0,True,Detached,Brussels ON N0G 1H0,53143.2,1769.0,2,0,2,2,0,2.0,1128000.0,2025-04-01,False,False,False
58,58_2,2,Average,1.0,True,Detached,Mitchell ON N0K 1N0,6534.0,1680.0,3,0,3,2,0,2.0,825720.0,2024-12-18,False,False,False
59,59_0,0,Fair,4.0,True,Detached,Kemptville ON K0G 1J0,4691.0,1814.0,2,0,2,3,0,3.0,925000.0,2024-10-04,True,False,False
59,59_1,1,Fair,5.0,True,Detached,Kemptville ON K0G 1J0,6842.0,1523.0,2,0,2,3,0,3.0,1100000.0,2024-11-04,True,False,False
59,59_2,2,Average,3.0,True,Detached,Oxford Mills ON K0G 1S0,48329.0,1988.0,4,0,4,3,0,3.0,1250000.0,2025-04-30,True,False,False
60,60_0,0,Average,100.0,True,Detached,Gananoque ON K7G 1B3,7200.0,1590.0,2,0,2,1,1,1.5,640000.0,2024-11-29,True,False,False
60,60_1,1,Fair,100.0,True,Detached,Gananoque ON K7G 1A2,7749.0,3440.0,4,3,7,5,0,5.0,550000.0,2025-04-10,True,False,True
60,60_2,2,Fair,100.0,True,Detached,Gananoque ON K7G 1A7,12600.0,2336.0,4,0,4,2,0,2.0,600000.0,2024-06-13,True,False,False
61,61_0,0,Fair,35.0,False,Condominium,Gananoque ON K7G 3C6,,819.0,2,0,2,1,0,1.0,237000.0,2024-12-12,False,False,False
61,61_1,1,Average,45.0,False,Condominium,Gananoque ON K7G 3A4,,594.0,1,0,1,1,0,1.0,325000.0,2025-02-08,False,False,False
61,61_2,2,Average,35.0,False,Condominium,Gananoque ON K7G 3C6,,819.0,2,0,2,1,0,1.0,255000.0,2024-07-23,False,False,False
62,62_0,0,Excellent,19.0,False,Detached,Calgary AB T3J 5L8,3821.22,2537.4,4,0,4,2,2,3.0,827500.0,2025-02-25,False,False,False
62,62_1,1,Fair,12.0,False,Detached,Calgary AB T3J 0N8,3971.9159999999997,2811.0,4,0,4,4,0,4.0,830000.0,2025-02-28,False,False,False
62,62_2,2,Average,34.0,False,Detached,Calgary AB T3J 2S5,5263.596,2336.52,5,0,5,3,0,3.0,750000.0,2024-12-19,False,False,False
63,63_0,0,Excellent,1.0,False,Detached,Calgary AB T3P 1S6,3692.0519999999997,3068.75,5,0,5,4,1,4.5,942000.0,2025-01-07,False,False,False
63,63_1,1,Excellent,2.0,False,Detached,Calgary AB T2Y 0T2,2583.3599999999997,2206.09,3,0,3,2,1,2.5,840000.0,2025-01-27,False,False,False
63,63_2,2,Fair,14.0,False,Detached,Calgary AB T3K 0R6,3584.412,1998.7,4,0,4,3,1,3.5,635000.0,2025-03-07,False,False,False
